movie_id	imdb_id	movie_name	imdb_date	production_companies	franchise	% screentime, female (all)	% screentime, female (human)	% screentime, female (animal/other)
minions_tt2293640	tt2293640	Minions	2015	Universal Pictures; Illumination Entertainment	Despicable Me	21.51	53.53	0.00
peanuts.movie_tt2452042	tt2452042	The Peanuts Movie	2015	20th Century Fox Animation; Blue Sky Studios; Feigco Entertainment	Peanuts	37.86	44.02	11.86
angry.birds.mov_tt1985949	tt1985949	The Angry Birds Movie	2016	Columbia Pictures; Rovio Entertainment	Angry Birds	20.75		20.75
finding.dory_tt2277860	tt2277860	Finding Dory	2016	Walt Disney Pictures; Pixar Animation Studios	Finding Nemo	51.69	0.00	51.90
ice.age.collisi_tt3416828	tt3416828	Ice Age: Collision Course	2016	20th Century Fox Animation; Blue Sky Studios; FortyFour Studios	Ice Age	36.04		36.04
jungle_book	tt3040964	The Jungle Book	2016	Walt Disney Pictures; Fairview Entertainment; Moving Picture Company (MPC)	Jungle Book	18.73		18.73
kung.fu.panda.3_tt2267968	tt2267968	Kung Fu Panda 3	2016	DreamWorks Animation; China Film Co., Ltd.; Oriental DreamWorks	Kung Fu Panda	23.52		23.52
moana_tt3521164	tt3521164	Moana	2016	Walt Disney Pictures; Walt Disney Animation Studios; Hurwitz Creative	Moana	68.06	72.00	0.00
sausage.party_tt1700841	tt1700841	Sausage Party	2016	Annapurna Pictures; Columbia Pictures; Nitrogen Studios Canada	Sausage Party	25.03	17.51	25.48
secret.life.of._tt2709768	tt2709768	The Secret Life of Pets	2016	Universal Pictures; Illumination Entertainment; Dentsu	Secret Life of Pets	21.52	89.77	18.18
sing_tt3470600	tt3470600	Sing	2016	Universal Pictures; Illumination Entertainment; Dentsu	Sing	32.78		32.78
storks_tt4624424	tt4624424	Storks	2016	Warner Bros.; Lord Miller; RatPac-Dune Entertainment	Storks	38.50	71.24	0.00
trolls_tt1679335	tt1679335	Trolls	2016	DreamWorks Animation	Trolls	52.66		52.66
zootopia_tt2948356	tt2948356	Zootopia	2016	Walt Disney Pictures; Walt Disney Animation Studios	Zootopia	49.32		49.32
boss.baby_tt3874544	tt3874544	The Boss Baby	2017	DreamWorks Animation	Boss Baby	10.29	10.29	
captain.underpa_tt2091256	tt2091256	Captain Underpants: The First Epic Movie	2017	DreamWorks Animation	Captain Underpants	7.56	7.56	
cars.3_tt3606752	tt3606752	Cars 3	2017	Walt Disney Pictures; Pixar Animation Studios	Cars	38.09		38.09
coco_tt2380307	tt2380307	Coco	2017	Walt Disney Pictures; Pixar Animation Studios; Día de Muertos	Coco	29.39	29.94	0.00
despicable.me.3_tt3469046	tt3469046	Despicable Me 3	2017	Illumination Entertainment; Universal Pictures	Despicable Me	35.45	38.34	0.00
emoji.movie_tt4877122	tt4877122	The Emoji Movie	2017	Columbia Pictures; Sony Pictures Animation; LStar Capital	Emoji Movie	32.68	76.42	18.44
lego.batman.mov_tt4116284	tt4116284	The Lego Batman Movie	2017	Animal Logic; DC Entertainment; DC Films		26.09	26.09	
lego.ninjago.mo_tt3014284	tt3014284	The Lego Ninjago Movie	2017	Animal Logic; LEGO System A/S; Lin Pictures	LEGO Ninjago	15.34	15.34	
grinch_tt2709692	tt2709692	The Grinch	2018	Universal Pictures; Illumination Entertainment; Dr. Seuss Enterprises	Grinch	29.04	57.00	0.00
hotel.transylva_tt5220122	tt5220122	Hotel Transylvania 3: Summer Vacation	2018	Sony Pictures Animation; Media Rights Capital (MRC); Rough Draft Korea	Hotel Transylvania	41.12	40.91	42.20
incredibles.2_tt3606756	tt3606756	Incredibles 2	2018	Walt Disney Pictures; Pixar Animation Studios	Incredibles	43.03	43.24	0.00
peter_rabbit	tt5117670	Peter Rabbit	2018	Columbia Pictures; 2.0 Entertainment; Animal Logic	Peter Rabbit	47.41		47.41
ralph.breaks.th_tt5848272	tt5848272	Ralph Breaks the Internet	2018	Walt Disney Pictures; Walt Disney Animation Studios	Wreck-It Ralph	55.61	57.96	0.00
smallfoot_tt6182908	tt6182908	Smallfoot	2018	Warner Bros.; Zaftig Films; Warner Bros. Animation	Smallfoot	28.63	16.64	31.10
spiderman.into._tt4633694	tt4633694	Spider-Man: Into the Spider-Verse	2018	Columbia Pictures; Marvel Entertainment; Sony Pictures Animation	Spider-Man	24.48	24.53	0.00
abominable_tt6324278	tt6324278	Abominable	2019	DreamWorks Animation; Pearl Studio; China Film Co-Production	Abominable	44.21	53.15	0.00
addams.family_tt1620981	tt1620981	The Addams Family	2019	Metro-Goldwyn-Mayer (MGM); Cinesite Animation; BRON Studios	Addams Family	56.68	56.76	0.00
frozen.ii_tt4520988	tt4520988	Frozen II	2019	Walt Disney Pictures; Walt Disney Animation Studios	Frozen	61.68	73.72	0.72
how.to.train.yo_tt2386490	tt2386490	How to Train Your Dragon: The Hidden World	2019	DreamWorks Animation	How to Train Your Dragon	30.40	29.35	34.93
lego.movie.2.th_tt3513498	tt3513498	The Lego Movie 2: The Second Part	2019	Warner Bros.; Warner Bros. Pictures Animation; LEGO System A/S	LEGO Movie	39.42	30.63	89.18
lion.king_tt6105098	tt6105098	The Lion King	2019	Walt Disney Pictures; Fairview Entertainment	Lion King	26.60		26.60
secret.life.of._tt5113040	tt5113040	The Secret Life of Pets 2	2019	Universal Pictures; Illumination Entertainment; Dentsu	Secret Life of Pets	28.42	39.07	26.86
spies.in.disgui_tt5814534	tt5814534	Spies in Disguise	2019	20th Century Fox Animation; 20th Century Fox; Blue Sky Studios		22.85	22.85	
toy.story.4_tt1979376	tt1979376	Toy Story 4	2019	Walt Disney Pictures; Pixar Animation Studios	Toy Story	35.22	44.44	10.77
weathering.with_tt9426210	tt9426210	Weathering with You	2019	Weathering With You Film Partners, Beijing Enlight Pictures, China Film Group Corporation (CFGC)		30.94	30.94	
croods.a.new.ag_tt2850386	tt2850386	The Croods: A New Age	2020	DreamWorks Animation; Dentsu	Croods	48.97	50.74	0.00
onward_tt7146812	tt7146812	Onward	2020	Walt Disney Pictures; Pixar Animation Studios	Onward	20.90	15.01	85.07
addams.family.2_tt11125620	tt11125620	The Addams Family 2	2021	BRON Studios; BermanBraun; Bron Creative	Addams Family	47.72	47.72	
boss.baby.2.fam_tt6932874	tt6932874	The Boss Baby: Family Business	2021	DreamWorks Animation	Boss Baby	40.01	40.32	0.00
encanto_tt2953050	tt2953050	Encanto	2021	Walt Disney Pictures; Walt Disney Animation Studios; Hurwitz Creative	Encanto	72.85	72.90	69.89
paw.patrol.the._tt11832046	tt11832046	PAW Patrol: The Movie	2021	Paramount Pictures; Spin Master Entertainment; Nickelodeon Movies	PAW Patrol	18.27	16.92	19.39
peter_rabbit_2	tt8376234	Peter Rabbit 2: The Runaway	2021	Columbia Pictures; 2.0 Entertainment; Animal Logic	Peter Rabbit	27.22		27.22
raya.and.the.la_tt5109280	tt5109280	Raya and the Last Dragon	2021	Walt Disney Pictures; Walt Disney Animation Studios	Raya and the Last Dragon	75.56	75.01	78.99
rons.gone.wrong_tt7504818	tt7504818	Ron's Gone Wrong	2021	20th Century Studios; TSG Entertainment; Locksmith Animation		18.96	19.95	0.00
sing.2_tt6467266	tt6467266	Sing 2	2021	Universal Pictures; Illumination Entertainment; Dentsu	Sing	40.33		40.33
space.jam.a.new_tt3554046	tt3554046	Space Jam: A New Legacy	2021	Warner Bros.; Warner Bros. Pictures Animation; Proximity Media	Looney Tunes	28.51	39.13	20.03
spirit.untamed_tt11084896	tt11084896	Spirit Untamed	2021	DreamWorks Animation; Jellyfish Pictures	Spirit: Stallion of the Cimarron	65.73	78.84	24.04
bad.guys_tt8115900	tt8115900	The Bad Guys	2022	DreamWorks Animation	Bad Guys	21.97		21.97
bobs.burgers.mo_tt7466442	tt7466442	The Bob's Burgers Movie	2022	20th Century Studios; 20th Century Animation; 20th Television Animation	Bob's Burgers	45.00	45.02	0.00
dc.league.of.su_tt8912936	tt8912936	DC League of Super-Pets	2022	Warner Bros.; Warner Bros. Pictures Animation; DC Entertainment	DC Universe	31.60	33.91	30.94
lightyear_tt10298810	tt10298810	Lightyear	2022	Walt Disney Pictures; Pixar Animation Studios	Toy Story	29.10	32.03	8.27
minions.the.ris_tt5113044	tt5113044	Minions: The Rise of Gru	2022	Universal Pictures; Illumination Entertainment	Despicable Me	10.63	18.27	0.00
puss.in.boots.t_tt3915174	tt3915174	Puss in Boots: The Last Wish	2022	DreamWorks Animation; Dentsu	Shrek	29.81	54.00	23.56
strange.world_tt10298840	tt10298840	Strange World	2022	Walt Disney Pictures; Walt Disney Animation Studios; Hurwitz Creative		19.80	20.22	0.00
elemental_tt15789038	tt15789038	Elemental	2023	Walt Disney Pictures; Pixar Animation Studios; Hurwitz Creative		55.32		55.32
migration_tt6495056	tt6495056	Migration	2023	Universal Pictures; Illumination Entertainment; Dentsu		46.55		46.55
paw.patrol.the._tt15837338	tt15837338	PAW Patrol: The Mighty Movie	2023	Spin Master Entertainment; Nickelodeon Movies; Paramount Pictures	PAW Patrol	49.16	42.53	52.19
spiderman.acros_tt9362722	tt9362722	Spider-Man: Across the Spider-Verse	2023	Columbia Pictures; Marvel Entertainment; Sony Pictures Animation	Spider-Man	39.09	39.09	
super.mario.bro_tt6718170	tt6718170	The Super Mario Bros. Movie	2023	Universal Pictures; Nintendo; Illumination Entertainment	Super Mario Bros.	17.95	25.90	0.00
teenage.mutant._tt8589698	tt8589698	Teenage Mutant Ninja Turtles: Mutant Mayhem	2023	Image Comics; Mikros Animation; Nickelodeon Animation Studios	Teenage Mutant Ninja Turtles	12.22	69.35	1.04
trolls.band.tog_tt14362112	tt14362112	Trolls Band Together	2023	DreamWorks Animation; Universal Pictures	Trolls	34.07		34.07
wish_tt11304740	tt11304740	Wish	2023	Walt Disney Pictures; Walt Disney Animation Studios; Hurwitz Creative	Wish	55.53	59.34	0.00
despicable.me.4_tt7510222	tt7510222	Despicable Me 4	2024	Universal Pictures; Illumination Entertainment	Despicable Me	36.37	40.08	0.00
garfield_tt5779228	tt5779228	The Garfield Movie	2024	Columbia Pictures; Alcon Entertainment; Double Negative (DNEG)	Garfield	11.71	26.14	8.92
imaginary.frien_tt11152168	tt11152168	IF	2024	Paramount Pictures; Sunday Night; Maximum Effort		29.90	0.00	31.13
inside.out.2_tt22022452	tt22022452	Inside Out 2	2024	Walt Disney Pictures; Pixar Animation Studios	Inside Out	79.73	90.17	77.66
kung.fu.panda.4_tt21692408	tt21692408	Kung Fu Panda 4	2024	DreamWorks Animation; China Film Group Corporation (CFGC); Dentsu	Kung Fu Panda	32.23		32.23
moana_tt13622970	tt13622970	Moana 2	2024	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Animation Canada	Moana	66.97	67.60	0.00
mufasa.the.lion_tt13186482	tt13186482	Mufasa: The Lion King	2024	Walt Disney Pictures	Lion King	29.77		29.77
transformers.a._tt8864596	tt8864596	Transformers One	2024	Paramount Animation; Hasbro Entertainment; New Republic Pictures	Transformers	15.37		15.37
wild.robot_tt29623480	tt29623480	The Wild Robot	2024	Dentsu; DreamWorks Animation	Wild Robot	35.88		35.88
bad.guys.2_tt30017619	tt30017619	The Bad Guys 2	2025	Universal Pictures; DreamWorks Animation; Scholastic Entertainment	Bad Guys	37.04	84.44	30.59
dog.man_tt10954718	tt10954718	Dog Man	2025	DreamWorks Animation; Dentsu		16.58	50.38	0.00
elio_tt4900148	tt4900148	Elio	2025	Walt Disney Pictures; Pixar Animation Studios		25.59	24.19	29.89
king.of.kings_tt7967302	tt7967302	The King of Kings	2025	Mofac Studios		9.46	9.87	0.00
zootopia.2_tt26443597	tt26443597	Zootopia 2	2025	Walt Disney Pictures; Walt Disney Animation Studios	Zootopia	43.81		43.81
