movie_id	year	ratio_all	ratio_fem	ratio_all_human	ratio_fem_human
smurfs_tt0472181	2011	0.000000	0.000000	0.000000	
snow.white.and._tt0029583	1937	0.076087	0.123620	0.062500	0.102908
south.park.bigg_tt0158983	1999	0.250305	0.532383	0.250305	0.532383
space.jam.a.new_tt3554046	2021	0.098108	0.302578	0.037835	0.158672
space.jam_tt0117705	1996	0.005937	0.054878	0.000000	0.000000
spiderman.acros_tt9362722	2023	0.131027	0.255973	0.131027	0.255973
spiderman.into._tt4633694	2018	0.079304	0.278689	0.079304	0.278689
spies.in.disgui_tt5814534	2019	0.088254	0.391549	0.088254	0.391549
spirit.stallion_tt0166813	2002	0.011480	0.053097	0.000000	
spirit.untamed_tt11084896	2021	0.407709	0.495942	0.395107	0.482353
spongebob.squar_tt0345950	2004	0.013357	0.060729	0.000000	
storks_tt4624424	2016	0.016150	0.029621	0.016150	0.029621
strange.world_tt10298840	2022	0.079922	0.279545	0.079922	0.279545
super.mario.bro_tt6718170	2023	0.024000	0.073770	0.024000	0.073770
surfs.up_tt0423294	2007	0.070465	0.162069	0.000000	
sword.in.the.st_tt0057546	1963	0.024725	0.130435	0.000000	0.000000
tangled_tt0398286	2010	0.172138	0.239688	0.172138	0.239688
tarzan_tt0120855	1999	0.194406	0.308889	0.000000	0.000000
teenage.mutant._tt8589698	2023	0.005538	0.023077	0.001231	0.006270
tmnt_2014	2014	0.000000		0.000000	
tmnt_tt0453556	2007	0.012387	0.069620	0.012387	0.069620
toy.story.2_tt0120363	1999	0.021383	0.069767	0.011404	0.038005
toy.story.3_tt0435761	2010	0.240588	0.405754	0.120000	0.231555
toy.story.4_tt1979376	2019	0.190955	0.294574	0.168342	0.268806
toy.story_tt0114709	1995	0.000000	0.000000	0.000000	0.000000
transformers.a._tt8864596	2024	0.011620	0.040179	0.000000	
trolls.band.tog_tt14362112	2023	0.200984	0.302646	0.000000	
trolls_tt1679335	2016	0.326958	0.407601	0.000000	
turbo_tt1860353	2013	0.066986	0.239609	0.048530	0.258182
up_tt1049413	2009	0.004252	0.021352	0.004252	0.041667
wallace..gromit_tt0312004	2005	0.068082	0.242222	0.068082	0.242222
walle_tt0910970	2008	0.005072	0.015054	0.000000	0.000000
weathering.with_tt9426210	2019	0.034322	0.096248	0.034322	0.096248
who.framed.roge_tt0096438	1988	0.013571	0.079498	0.000000	0.000000
wild.robot_tt29623480	2024	0.000000	0.000000	0.000000	
wish_tt11304740	2023	0.385424	0.497093	0.385424	0.497093
wreckit.ralph_tt1772341	2012	0.112396	0.216584	0.112396	0.216584
zootopia.2_tt26443597	2025	0.153971	0.214932	0.000000	
zootopia_tt2948356	2016	0.222899	0.282407	0.000000	
